Periodo;# Clicks;# Registros IN;# Primer depósito IN;Total depositado IN;# Personas que apostaron IN;Total apostado;Net revenue IN
2023-01-24;2263;1;4;1878,320756;170;11927,09706;1866,306711
2023-01-25;2532;0;1;1246,982606;177;8673,671745;218,8530032
2023-01-26;2056;0;1;1624,026768;172;8895,86856;95,0961669
2023-01-27;1944;2;2;2460,438669;172;8357,981784;1178,661395
2023-01-28;2640;2;1;1620,146152;217;12283,81949;152,4071427
2023-01-29;2000;4;0;2040,074819;175;8221,498669;1692,729627
2023-01-30;1590;0;1;1261,077889;124;3961,439206;300,6320572
2023-01-30;1;;;;;;
2023-01-31;1888;0;2;993,2844263;161;5165,329588;158,7881977
2023-02-01;739;2;1;3841,319193;167;10149,56409;105,3778645
2023-02-02;389;1;2;1637,859695;164;10357,50143;-1350,873684
2023-02-03;275;0;1;3409,721614;158;16908,58603;2856,627563
2023-02-04;283;1;4;3907,139825;179;16798,31379;2102,139335
2023-02-05;635;0;0;2172,303014;160;12726,3124;323,1581761
2023-02-06;520;2;0;2264,519704;149;13451,4164;192,5487768
2023-02-07;1598;0;1;2880,845892;179;14160,89705;439,2165387
2023-02-07;;0;0;5,7764292;1;7,7019056;-3,577535136
2023-02-08;3704;0;2;3251,980257;183;10710,34849;943,6021527
2023-02-08;;0;0;0;1;16,76336097;5,58778699
2023-02-09;2469;0;0;1785,355658;154;10823,61839;-417,9354542
2023-02-09;;0;0;0;1;10,71776496;-1,023929312
2023-02-10;6387;0;0;2041,765596;171;14476,98516;1257,749305
2023-02-10;;0;0;0;1;10,08509546;3,182361253
2023-02-11;4180;1;3;3220,267473;200;24429,60016;111,0048391
2023-02-11;;0;0;0;1;1,5242508;-1,18891558
2023-02-12;2122;4;5;2366,834336;188;18956,58288;9,40823767
2023-02-13;2131;5;2;1494,293358;159;21944,25517;-487,1436925
2023-02-14;1898;5;3;2976,996418;188;18473,24955;3940,455195
2023-02-15;2222;3;3;2549,36358;176;19489,8652;-379,2555705
2023-02-15;;0;0;38,782614;2;32,56770025;-5,262800602
2023-02-16;2263;3;3;2749,326011;202;15136,61437;378,0165275
2023-02-16;;0;0;0;1;11,0897392;2,069651249
2023-02-17;1849;0;0;2272,739084;189;15053,40204;814,5405599
2023-02-17;;0;0;0;2;37,11360376;-16,97914367
2023-02-18;2767;0;4;3466,028782;195;22606,78778;2676,026651
2023-02-18;;0;0;0;2;8,914201875;8,914201875
2023-02-19;1530;0;0;3661,903665;160;13200,71202;448,0711278
2023-02-19;;0;0;0;1;7,755124;-5,583689133
2023-02-20;694;0;0;1441,627189;164;15186,16334;-531,305041
2023-02-21;674;0;3;4144,060826;170;25683,5624;1313,986112
2023-02-22;1166;13;7;7463,975103;206;50941,5451;1828,612151
2023-02-22;;0;0;0;1;22,10388247;-23,06508935
2023-02-23;1112;4;5;6228,127642;201;79726,70454;3202,853959
2023-02-24;839;1;0;5531,90882;167;74686,14285;3287,315971
2023-02-25;1140;1;1;2242,486924;198;49888,59931;-556,7880205
2023-02-25;;0;0;0;1;87,9912735;2,11258949
2023-02-26;1144;1;1;9858,615666;169;72409,95352;7568,276827
2023-02-26;;0;0;0;1;67,31862226;31,48718549
2023-02-27;958;1;2;5022,633499;160;40066,26866;3239,339019
2023-02-28;1126;2;4;1796,260065;176;12846,72874;-15,97714911
2023-02-28;;0;0;0;1;24,37000291;11,27716731
2023-03-01;1020;0;1;2362,991571;196;21373,92751;2221,3121
2023-03-02;1042;1;4;1942,147784;200;9477,804416;1362,232397
2023-03-03;1;;;;;;
2023-03-03;816;1;1;2538,209404;181;16900,23346;1168,15476
2023-03-04;935;0;3;4973,14334;202;20718,35859;585,8023034
2023-03-05;1293;1;3;2515,325293;217;11816,52901;1636,62765
2023-03-06;10;;;;;;
